_id,Date,Gender,Race,Age at Booking,Current Age
590,2017-07-01,M,W,23,23
591,2017-07-01,M,W,29,29
592,2017-07-01,M,B,24,24
593,2017-07-01,M,B,49,49
594,2017-07-01,M,W,22,22
595,2017-07-01,M,B,28,28
596,2017-07-01,M,B,63,63
597,2017-07-01,M,B,20,20
598,2017-07-01,M,B,36,36
599,2017-07-01,M,B,22,34
600,2017-07-01,M,B,43,45
601,2017-07-01,M,B,31,33
602,2017-07-01,M,B,42,44
603,2017-07-01,M,B,34,35
604,2017-07-01,M,B,24,25
605,2017-07-01,M,W,36,37
606,2017-07-01,M,B,45,46
607,2017-07-01,M,W,18,19
608,2017-07-01,M,W,28,29
609,2017-07-01,M,B,22,23
610,2017-07-01,M,B,21,22
611,2017-07-01,M,B,38,39
612,2017-07-01,M,W,37,38
613,2017-07-01,M,B,26,27
614,2017-07-01,M,B,20,21
615,2017-07-01,M,B,32,33
616,2017-07-01,M,B,25,25
617,2017-07-01,M,B,25,26
618,2017-07-01,M,B,21,21
619,2017-07-01,M,B,20,21
620,2017-07-01,M,B,40,41
621,2017-07-01,M,B,28,29
622,2017-07-01,M,B,37,37
623,2017-07-01,M,B,26,27
624,2017-07-01,M,B,49,49
625,2017-07-01,M,B,22,23
626,2017-07-01,M,B,26,26
627,2017-07-01,M,B,30,30
628,2017-07-01,M,W,24,24
629,2017-07-01,M,B,20,20
630,2017-07-01,M,W,32,32
631,2017-07-01,M,B,29,29
632,2017-07-01,M,B,31,31
633,2017-07-01,M,B,22,22
634,2017-07-01,M,B,40,40
635,2017-07-01,M,B,29,29
636,2017-07-01,M,B,45,45
637,2017-07-01,M,W,45,46
638,2017-07-01,M,B,24,24
639,2017-07-01,M,W,44,44
640,2017-07-01,M,B,25,25
641,2017-07-01,M,W,39,39
642,2017-07-01,M,W,35,35
643,2017-07-01,M,B,36,36
644,2017-07-01,M,B,34,34
645,2017-07-01,M,B,24,25
646,2017-07-01,M,B,24,25
647,2017-07-01,M,W,59,59
648,2017-07-01,M,W,52,53
649,2017-07-01,M,W,25,25
650,2017-07-01,M,B,19,19
651,2017-07-01,M,B,53,53
652,2017-07-01,M,B,36,36
653,2017-07-01,M,B,56,57
654,2017-07-01,M,W,29,30
655,2017-07-01,M,W,32,32
656,2017-07-01,M,B,36,36
657,2017-07-01,M,B,35,35
658,2017-07-01,M,W,36,36
659,2017-07-01,M,W,27,28
660,2017-07-01,M,B,24,24
661,2017-07-01,M,B,26,26
662,2017-07-01,M,B,26,26
663,2017-07-01,M,W,31,31
664,2017-07-01,M,B,36,36
665,2017-07-01,M,B,22,22
666,2017-07-01,M,W,40,40
667,2017-07-01,M,W,31,31
668,2017-07-01,M,W,41,41
669,2017-07-01,M,B,39,39
670,2017-07-01,M,W,27,27
671,2017-07-01,M,B,38,38
672,2017-07-01,M,W,31,31
673,2017-07-01,M,B,36,37
674,2017-07-01,M,B,25,25
675,2017-07-01,M,W,35,35
676,2017-07-01,M,B,27,27
677,2017-07-01,M,x,26,26
678,2017-07-01,M,W,46,46
679,2017-07-01,M,W,46,46
680,2017-07-01,M,W,42,42
681,2017-07-01,M,H,40,40
682,2017-07-01,M,B,22,22
683,2017-07-01,M,B,31,31
684,2017-07-01,M,W,44,44
685,2017-07-01,M,W,50,50
686,2017-07-01,M,B,22,22
687,2017-07-01,M,W,32,32
688,2017-07-01,M,B,60,60
689,2017-07-01,M,W,64,64
690,2017-07-01,M,B,22,23
691,2017-07-01,M,W,35,36
692,2017-07-01,M,B,18,20
693,2017-07-01,M,W,22,24
694,2017-07-01,M,B,20,21
695,2017-07-01,M,B,40,41
696,2017-07-01,M,W,25,26
697,2017-07-01,M,B,19,20
698,2017-07-01,M,W,31,32
699,2017-07-01,M,W,48,49
700,2017-07-01,M,B,36,37
701,2017-07-01,M,B,29,30
702,2017-07-01,M,B,33,34
703,2017-07-01,M,W,29,30
704,2017-07-01,M,W,38,38
705,2017-07-01,M,B,29,30
706,2017-07-01,M,B,32,33
707,2017-07-01,M,B,53,54
708,2017-07-01,M,W,38,39
709,2017-07-01,M,W,37,37
710,2017-07-01,M,B,20,21
711,2017-07-01,M,B,44,45
712,2017-07-01,M,U,22,23
713,2017-07-01,M,B,26,26
714,2017-07-01,M,W,51,52
715,2017-07-01,M,B,17,18
716,2017-07-01,M,B,57,58
717,2017-07-01,M,B,26,26
718,2017-07-01,M,B,30,31
719,2017-07-01,M,B,26,27
720,2017-07-01,M,B,30,31
721,2017-07-01,M,B,19,19
722,2017-07-01,M,W,42,43
723,2017-07-01,M,B,19,19
724,2017-07-01,M,B,37,38
725,2017-07-01,M,B,21,21
726,2017-07-01,M,W,33,33
727,2017-07-01,M,B,40,40
728,2017-07-01,M,B,55,55
729,2017-07-01,M,B,45,45
730,2017-07-01,M,B,31,31
731,2017-07-01,M,W,33,33
732,2017-07-01,M,B,22,22
733,2017-07-01,M,B,32,32
734,2017-07-01,M,B,31,31
735,2017-07-01,M,B,32,33
736,2017-07-01,M,W,60,60
737,2017-07-01,M,B,46,46
738,2017-07-01,M,B,35,35
739,2017-07-01,M,B,30,30
740,2017-07-01,M,B,21,21
741,2017-07-01,M,B,28,29
742,2017-07-01,M,B,40,41
743,2017-07-01,M,H,40,40
744,2017-07-01,M,B,21,21
745,2017-07-01,M,B,31,31
746,2017-07-01,M,B,37,37
747,2017-07-01,M,B,25,25
748,2017-07-01,M,W,47,47
749,2017-07-01,M,W,23,23
750,2017-07-01,M,W,27,28
751,2017-07-01,M,B,20,20
752,2017-07-01,M,B,36,36
753,2017-07-01,M,B,44,44
754,2017-07-01,M,B,37,37
755,2017-07-01,M,B,22,22
756,2017-07-01,M,W,22,22
757,2017-07-01,M,W,35,35
758,2017-07-01,M,B,26,27
759,2017-07-01,M,B,18,19
760,2017-07-01,M,B,36,36
761,2017-07-01,M,B,51,51
762,2017-07-01,M,B,30,31
763,2017-07-01,M,B,37,37
764,2017-07-01,M,B,53,53
765,2017-07-01,M,W,31,31
766,2017-07-01,M,B,41,41
767,2017-07-01,M,B,46,46
768,2017-07-01,M,W,44,44
769,2017-07-01,M,B,21,21
770,2017-07-01,M,B,33,33
771,2017-07-01,M,W,35,35
772,2017-07-01,M,B,25,25
773,2017-07-01,M,W,40,40
774,2017-07-01,M,B,34,34
775,2017-07-01,M,W,41,41
776,2017-07-01,M,B,28,28
777,2017-07-01,M,W,27,27
778,2017-07-01,M,B,60,60
779,2017-07-01,M,W,54,54
780,2017-07-01,M,B,24,24
781,2017-07-01,M,W,32,32
782,2017-07-01,M,W,44,44
783,2017-07-01,M,W,44,44
784,2017-07-01,M,B,33,33
785,2017-07-01,M,W,30,30
786,2017-07-01,M,B,24,24
787,2017-07-01,M,W,56,56
788,2017-07-01,M,A,22,25
789,2017-07-01,M,B,24,26
790,2017-07-01,M,W,36,38
791,2017-07-01,M,B,51,52
792,2017-07-01,M,B,22,23
793,2017-07-01,M,B,21,22
794,2017-07-01,M,W,52,53
795,2017-07-01,M,B,23,24
796,2017-07-01,M,B,21,22
797,2017-07-01,M,W,32,32
798,2017-07-01,M,W,24,25
799,2017-07-01,M,B,33,33
800,2017-07-01,M,W,27,28
801,2017-07-01,M,B,39,40
802,2017-07-01,M,B,29,30
803,2017-07-01,M,B,50,50
804,2017-07-01,M,B,43,44
805,2017-07-01,M,B,21,21
806,2017-07-01,M,W,30,30
807,2017-07-01,M,B,28,28
808,2017-07-01,M,W,28,28
809,2017-07-01,M,B,47,47
810,2017-07-01,M,B,27,28
811,2017-07-01,M,W,55,56
812,2017-07-01,M,B,29,29
813,2017-07-01,M,B,21,21
814,2017-07-01,M,H,34,34
815,2017-07-01,M,B,19,19
816,2017-07-01,M,W,53,54
